circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_4.txt,beaver,64,128,64,0.9999999999973685,0.6,0.79,0,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999999980278,0.61,0.76,0,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999999980453,0.63,0.8,0,0,0,0
adder_4.txt,beaver,64,256,128,0.999999999998292,1.12,0.92,0,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999982897,1.13,0.92,0,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999982937,1.08,0.89,0,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982819,2.15,1.17,0,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982874,2.18,1.21,0,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982807,2.16,1.16,0,0,0,0
adder_4.txt,beaver,128,128,64,1.0,1.14,1.07,0,0,0,0
adder_4.txt,beaver,128,128,64,1.0,1.09,1.13,0,0,0,0
adder_4.txt,beaver,128,128,64,1.0,1.19,1.1,0,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.19,1.38,0,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.16,1.38,0,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.3,1.37,0,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.29,1.89,0,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.24,1.86,0,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.1,1.86,0,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999885390016,0.65,0.83,1,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999973476894,0.7,0.95,1,0,0,0
adder_4.txt,beaver,64,128,64,0.9999999126648388,0.72,0.78,1,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999891213,1.19,1.04,1,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999795134,1.3,0.98,1,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999895692,1.26,0.97,1,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982819,2.45,1.18,1,0,0,0
adder_4.txt,beaver,64,512,256,0.999999999998289,2.25,1.19,1,0,0,0
adder_4.txt,beaver,64,512,256,0.9999999999982859,2.98,2.14,1,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999999999998,1.29,1.28,1,0,0,0
adder_4.txt,beaver,128,128,64,0.9999999999999999,1.44,1.21,1,0,0,0
adder_4.txt,beaver,128,128,64,0.999999999999999,1.31,1.67,1,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.49,1.48,1,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.47,1.53,1,0,0,0
adder_4.txt,beaver,128,256,128,1.0,2.44,1.45,1,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.71,1.93,1,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.97,2.03,1,0,0,0
adder_4.txt,beaver,128,512,256,1.0,4.52,2.73,1,0,0,0
adder_4.txt,beaver,64,128,64,0.9996465347153565,0.75,0.86,2,0,0,0
adder_4.txt,beaver,64,128,64,0.9991425984925096,0.74,0.82,2,0,0,0
adder_4.txt,beaver,64,128,64,0.9599674049570602,0.82,0.92,2,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999960524,1.52,1.01,2,0,0,0
adder_4.txt,beaver,64,256,128,0.9999999999903889,1.5,0.97,2,0,0,0
